,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,longyearbyen,75,SJ,1608819567,69,78.22,15.64,33.8,26.4
1,merauke,100,ID,1608819567,88,-8.47,140.33,78.53,8.28
2,fort morgan,93,NL,1608819567,87,52.65,6.39,43.0,1.01
3,lagoa,43,PT,1608819567,68,39.05,-27.98,57.09,24.09
4,arraial do cabo,75,BR,1608819567,61,-22.84,-46.65,77.0,13.87
5,ajdabiya,67,LY,1608819567,63,30.76,20.23,64.15,12.08
6,bredasdorp,0,ZA,1608819567,53,-34.53,20.04,71.6,10.29
7,narsaq,100,GL,1608819304,80,60.92,-46.05,33.8,17.22
8,punta arenas,96,PH,1608819567,87,8.99,125.34,76.73,3.69
9,mabaruma,90,GY,1608819567,90,8.2,-59.78,79.18,5.3
10,hambantota,40,LK,1608819567,88,6.12,81.12,80.6,4.7
11,ribeira grande,40,ES,1608819567,76,42.75,-8.44,50.0,8.05
12,koumac,9,NC,1608819568,80,-20.57,164.28,78.33,3.0
13,sao paulo de olivenca,95,IN,1608819568,31,20.51,76.21,67.23,6.44
14,oktyabrskoye,90,RU,1608819568,92,43.06,44.74,23.0,2.24
15,vaini,40,TO,1608819568,100,-21.2,-175.2,73.4,9.04
16,mataura,0,NZ,1608819568,84,-46.19,168.86,48.0,4.0
17,teseney,73,ER,1608819568,20,15.11,36.66,95.09,10.18
18,hilo,1,US,1608819568,68,19.73,-155.09,66.2,6.93
19,rikitea,34,PF,1608819568,67,-23.12,-134.97,77.76,7.7
20,high prairie,0,US,1608819568,71,33.61,-95.75,28.99,9.91
21,lengshuijiang,20,CN,1608819412,63,27.69,111.43,45.99,2.8
22,hermanus,4,ZA,1608819568,62,-34.42,19.23,72.0,5.01
23,carnarvon,40,AU,1608819569,100,-24.87,113.63,77.0,17.22
24,namwala,100,ZM,1608819569,53,-15.75,26.44,86.63,3.18
25,nouadhibou,0,MR,1608819569,43,20.93,-17.03,73.4,13.87
26,bluff,10,NZ,1608819569,84,-46.6,168.33,48.0,4.0
27,kapaa,1,US,1608819569,88,22.08,-159.32,70.0,6.93
28,ushuaia,75,AR,1608819399,43,-54.8,-68.3,50.0,14.99
29,circleville,90,US,1608819569,100,39.6,-82.95,35.6,13.87
30,alpena,90,US,1608819370,68,45.06,-83.43,28.4,16.11
31,provideniya,79,RU,1608819569,91,64.38,-173.3,9.81,9.13
32,port alfred,5,CD,1608819569,67,-7.03,29.76,79.34,3.33
33,adrar,99,MR,1608819569,19,20.5,-10.07,75.58,10.89
34,bandarbeyla,0,SO,1608819569,65,9.49,50.81,75.07,21.3
35,lahaina,1,US,1608819310,72,20.88,-156.68,70.0,3.36
36,carutapera,46,BR,1608819569,82,-1.2,-46.02,81.46,7.47
37,souillac,75,MU,1608819569,78,-20.52,57.52,80.6,11.41
38,rawson,0,AR,1608819569,29,-43.3,-65.1,77.83,14.97
39,ilulissat,75,GL,1608819570,79,69.22,-51.1,26.6,16.11
40,husavik,40,IS,1608819570,73,66.04,-17.34,41.0,25.28
41,saint-philippe,20,RE,1608819570,74,-21.36,55.77,82.99,19.46
42,tuatapere,4,NZ,1608819570,84,-46.13,167.68,48.0,4.0
43,leshukonskoye,100,RU,1608819570,93,64.9,45.76,1.35,11.01
44,kodiak,40,US,1608819570,85,57.79,-152.41,24.8,5.82
45,coahuayana,5,MX,1608819570,52,18.73,-103.68,68.0,11.41
46,georgetown,20,MY,1608819570,78,5.41,100.34,82.4,6.93
47,itarema,100,BR,1608819570,54,-2.92,-39.92,87.53,16.22
48,atambua,100,ID,1608819570,87,-9.11,124.89,74.86,2.46
49,chokurdakh,100,RU,1608819570,90,70.63,147.92,-9.89,15.08
50,busselton,0,AU,1608819570,76,-33.65,115.33,72.0,1.01
51,torit,44,SS,1608819570,24,4.41,32.57,95.34,5.06
52,hobart,2,AU,1608819570,57,-42.88,147.33,50.0,11.41
53,castro,6,BR,1608819570,65,-24.79,-50.01,72.86,8.01
54,shimoda,52,JP,1608819571,76,34.67,138.95,46.0,3.0
55,almeirim,34,BR,1608819571,49,-1.52,-52.58,90.86,4.99
56,albany,100,US,1608819529,91,42.6,-73.97,43.0,4.0
57,qaanaaq,60,GL,1608819571,74,77.48,-69.36,-3.46,3.27
58,youghal,40,IE,1608819571,70,51.95,-7.85,44.01,18.34
59,qaqortoq,100,GL,1608819571,80,60.72,-46.03,33.8,17.22
60,barrow,90,US,1608819301,77,71.29,-156.79,1.4,20.8
61,norman wells,1,US,1608819437,62,35.22,-97.44,24.8,5.82
62,tessalit,47,ML,1608819571,16,20.2,1.01,80.01,14.45
