,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,severo-kurilsk,94,RU,1608520676,92,50.68,156.12,28.13,21.14
1,kirakira,17,SB,1608520676,66,-10.45,161.92,84.13,4.85
2,albany,77,US,1608520676,74,42.6,-73.97,34.0,3.29
3,castro,95,BR,1608520676,94,-24.79,-50.01,66.54,2.55
4,hilo,90,US,1608520676,88,19.73,-155.09,75.2,3.36
5,palmer,90,US,1608520653,100,42.16,-72.33,32.0,4.03
6,punta arenas,4,PH,1608520677,63,8.99,125.34,87.04,9.19
7,rolla,1,US,1608520585,69,37.95,-91.77,42.01,8.05
8,marawi,14,PH,1608520677,78,8.0,124.29,82.99,4.0
9,pevek,44,RU,1608520677,87,69.7,170.31,-9.08,3.27
10,chuy,0,UY,1608520677,78,-33.7,-53.46,57.4,8.99
11,bredasdorp,0,ZA,1608520677,93,-34.53,20.04,64.4,5.82
12,zapolyarnyy,97,RU,1608520677,96,69.42,30.81,32.0,36.91
13,hambantota,90,LK,1608520677,100,6.12,81.12,75.2,9.17
14,makakilo city,20,US,1608520677,54,21.35,-158.09,84.2,6.93
15,rikitea,2,PF,1608520677,77,-23.12,-134.97,76.69,21.07
16,thompson,75,CA,1608520677,82,55.74,-97.86,-16.6,2.24
17,vaini,20,TO,1608520677,79,-21.2,-175.2,84.2,14.99
18,mataura,100,NZ,1608520678,80,-46.19,168.86,59.0,8.01
19,kapaa,40,US,1608520678,74,22.08,-159.32,80.6,18.34
20,ushuaia,40,AR,1608520502,56,-54.8,-68.3,44.6,33.33
21,longyearbyen,75,SJ,1608520678,60,78.22,15.64,10.4,21.92
22,hualmay,100,PE,1608520678,84,-11.1,-77.61,68.65,9.33
23,kaitangata,100,NZ,1608520678,92,-46.28,169.85,55.99,23.0
24,sidney,75,AU,1608520447,78,-33.87,151.21,73.4,12.75
25,ribeira grande,75,ES,1608520678,93,42.75,-8.44,57.99,11.41
26,belaya gora,0,UA,1608520678,95,49.03,25.77,33.01,5.99
27,puerto ayora,0,ES,1608520678,93,36.59,-6.23,51.8,6.93
28,khatanga,100,RU,1608520678,84,71.97,102.5,-32.55,6.15
29,cape town,0,CL,1608520678,45,-36.41,-71.9,66.2,10.29
30,mandan,20,US,1608520550,67,46.83,-100.89,41.0,20.8
31,yellowknife,90,CA,1608520678,75,62.46,-114.35,-16.01,8.05
32,aklavik,99,CA,1608520678,73,68.22,-135.01,-32.8,3.36
33,bluff,100,NZ,1608520679,80,-46.6,168.33,59.0,8.01
34,tuktoyaktuk,20,CA,1608520679,65,69.45,-133.04,-36.4,4.7
35,namangan,90,UZ,1608520679,86,41.0,71.67,33.8,2.24
36,belmonte,0,BR,1608520679,88,-15.86,-38.88,75.2,3.36
37,laguna,1,US,1608520679,81,38.42,-121.42,48.2,1.21
38,acapulco,40,MX,1608520679,88,16.86,-99.89,77.0,3.36
39,hithadhoo,28,MV,1608520679,76,-0.6,73.08,81.57,9.17
40,tasiilaq,100,GL,1608520679,57,65.61,-37.64,23.0,6.85
41,liverpool,62,GB,1608520647,87,53.41,-2.98,42.8,6.93
42,leningradskiy,100,RU,1608520679,91,69.38,178.42,-3.53,0.81
43,jibuti,75,DJ,1608520487,88,11.5,42.5,75.2,14.14
44,vila franca do campo,100,PT,1608520679,95,42.03,-8.16,53.01,5.99
45,busselton,0,AU,1608520679,43,-33.65,115.33,73.99,7.0
46,qaqortoq,100,GL,1608520679,68,60.72,-46.03,26.6,12.75
47,rocha,9,UY,1608520679,89,-34.48,-54.33,55.22,8.72
48,basoko,0,CD,1608520679,81,1.24,23.62,70.7,1.79
49,mogadishu,8,SO,1608520680,86,2.04,45.34,77.94,14.88
50,san vicente de canete,31,ML,1608520680,25,13.3,-4.9,68.45,13.11
51,newark,90,US,1608520457,93,40.74,-74.17,39.2,1.45
52,eureka,100,US,1608520680,90,40.8,-124.16,52.0,3.31
53,sao filipe,0,IN,1608520637,28,20.51,76.21,63.81,3.09
54,nikolskoye,90,RU,1608520680,94,59.7,30.79,32.0,6.71
55,kunya,0,NG,1608520680,59,12.22,8.53,64.4,3.36
56,georgetown,20,MY,1608520488,74,5.41,100.34,84.2,9.17
57,namibe,72,AO,1608520680,84,-15.2,12.15,66.43,2.89
58,gympie,59,AU,1608520680,76,-26.19,152.66,82.0,4.0
59,atlantic beach,90,US,1608520665,100,39.47,-74.67,33.8,0.43
60,jamestown,90,US,1608520680,92,42.1,-79.24,35.01,6.93
61,bambous virieux,40,MU,1608520680,78,-20.26,57.41,80.01,11.41
62,mar del plata,75,ES,1608520680,67,43.4,-4.01,60.01,12.75
63,yuci,0,CN,1608520680,53,37.68,112.73,24.8,2.24
64,mount gambier,99,GB,1608520681,93,53.66,-1.85,41.0,1.01
65,cidreira,91,BR,1608520681,70,-30.18,-50.21,68.43,5.26
66,butaritari,45,KI,1608520681,81,3.07,172.79,81.36,13.87
67,saint-philippe,0,RE,1608520681,65,-21.36,55.77,79.0,2.24
68,okhotsk,97,RU,1608520681,90,59.38,143.3,-9.99,8.84
69,new norfolk,23,LR,1608520681,95,6.65,-10.59,73.29,1.32
70,grand river south east,1,US,1608520681,92,38.88,-109.5,21.2,3.36
71,baykit,100,RU,1608520681,85,61.67,96.37,-11.4,2.66
72,lorengau,77,PG,1608520681,72,-2.02,147.27,85.05,4.92
73,ballina,75,AU,1608520478,74,-28.87,153.57,82.4,4.7
74,jiguani,20,CU,1608520682,88,20.37,-76.43,75.2,8.05
75,hamilton,1,US,1608520667,84,39.18,-84.53,37.0,4.65
76,naze,75,JP,1608520682,59,28.37,129.48,60.8,13.87
77,paamiut,100,GL,1608520682,96,61.99,-49.67,27.66,12.21
78,iskateley,95,RU,1608520682,93,67.68,53.15,4.93,11.03
79,cape canaveral,0,CL,1608520678,45,-36.41,-71.9,66.2,10.29
80,sitka,75,US,1608520439,70,57.05,-135.33,42.8,16.11
81,port elizabeth,95,CD,1608520683,72,-7.03,29.76,70.56,3.94
82,bethel,90,US,1608520683,99,41.37,-73.41,33.01,2.51
83,kruisfontein,84,ZA,1608520683,95,-34.0,24.73,70.0,1.01
84,verkhoyansk,93,RU,1608520683,78,67.54,133.38,-43.1,0.38
85,namwala,97,ZM,1608520683,93,-15.75,26.44,66.02,0.45
86,pangnirtung,100,CA,1608520683,88,66.15,-65.71,3.2,1.54
87,havelock,90,US,1608520683,100,34.88,-76.9,46.99,9.17
88,srednekolymsk,9,RU,1608520683,82,67.45,153.68,-37.77,2.66
89,ancud,75,CL,1608520442,81,-41.87,-73.82,53.01,3.36
90,sterling,90,US,1608520541,100,39.01,-77.43,37.0,2.26
91,qaanaaq,92,GL,1608520683,71,77.48,-69.36,1.02,4.68
92,lebu,0,CL,1608520683,85,-37.62,-73.65,53.55,19.8
93,port alfred,95,CD,1608520683,72,-7.03,29.76,70.56,3.94
94,arraial do cabo,0,BR,1608520684,78,-22.84,-46.65,75.2,9.17
